x-axis,1,2
second,Volt,Volt
-500.000E-06,+1.153124920E+00,+6.093751E-03
-498.000E-06,+1.129374920E+00,+6.109376E-03
-496.000E-06,+1.105624920E+00,+6.125001E-03
-494.000E-06,+1.081874919E+00,+6.203126E-03
-492.000E-06,+1.058124919E+00,+6.343751E-03
-490.000E-06,+1.034374919E+00,+6.484376E-03
-488.000E-06,+1.015624918E+00,+6.531251E-03
-486.000E-06,+996.874918E-03,+6.578126E-03
-484.000E-06,+978.749918E-03,+6.625001E-03
-482.000E-06,+961.249917E-03,+6.671876E-03
-480.000E-06,+943.749917E-03,+6.718751E-03
-478.000E-06,+918.749917E-03,+6.578126E-03
-476.000E-06,+893.749916E-03,+6.437501E-03
-474.000E-06,+871.249916E-03,+6.343751E-03
-472.000E-06,+851.249916E-03,+6.296876E-03
-470.000E-06,+831.249916E-03,+6.250001E-03
-468.000E-06,+808.749915E-03,+6.328126E-03
-466.000E-06,+786.249915E-03,+6.406251E-03
-464.000E-06,+764.374915E-03,+6.492189E-03
-462.000E-06,+743.124914E-03,+6.585939E-03
-460.000E-06,+721.874914E-03,+6.679689E-03
-458.000E-06,+693.124913E-03,+6.664064E-03
-456.000E-06,+664.374913E-03,+6.648439E-03
-454.000E-06,+639.374913E-03,+6.609376E-03
-452.000E-06,+618.124912E-03,+6.546876E-03
-450.000E-06,+596.874912E-03,+6.484376E-03
-448.000E-06,+579.374912E-03,+6.328126E-03
-446.000E-06,+561.874912E-03,+6.171876E-03
-444.000E-06,+538.749911E-03,+6.101564E-03
-442.000E-06,+509.999911E-03,+6.117189E-03
-440.000E-06,+481.249910E-03,+6.132814E-03
-438.000E-06,+461.249910E-03,+6.148439E-03
-436.000E-06,+441.249910E-03,+6.164064E-03
-434.000E-06,+421.874909E-03,+6.234376E-03
-432.000E-06,+403.124909E-03,+6.359376E-03
-430.000E-06,+384.374909E-03,+6.484376E-03
-428.000E-06,+354.374908E-03,+6.562501E-03
-426.000E-06,+324.374908E-03,+6.640626E-03
-424.000E-06,+300.624908E-03,+6.671876E-03
-422.000E-06,+283.124907E-03,+6.656251E-03
-420.000E-06,+265.624907E-03,+6.640626E-03
-418.000E-06,+243.124907E-03,+6.500001E-03
-416.000E-06,+220.624906E-03,+6.359376E-03
-414.000E-06,+204.374906E-03,+6.125001E-03
-412.000E-06,+194.374906E-03,+5.796876E-03
-410.000E-06,+184.374906E-03,+5.468751E-03
-408.000E-06,+170.624906E-03,+4.906251E-03
-406.000E-06,+156.874905E-03,+4.343751E-03
-404.000E-06,+143.749905E-03,+3.828126E-03
-402.000E-06,+131.249905E-03,+3.359376E-03
-400.000E-06,+118.749905E-03,+2.890626E-03
-398.000E-06,+106.249905E-03,+2.500001E-03
-396.000E-06,+93.749905E-03,+2.109376E-03
-394.000E-06,+82.499904E-03,+1.804689E-03
-392.000E-06,+72.499904E-03,+1.585939E-03
-390.000E-06,+62.499904E-03,+1.367189E-03
-388.000E-06,+72.499904E-03,+1.367189E-03
-386.000E-06,+82.499904E-03,+1.367189E-03
-384.000E-06,+90.624904E-03,+1.562501E-03
-382.000E-06,+96.874905E-03,+1.953126E-03
-380.000E-06,+103.124905E-03,+2.343751E-03
-378.000E-06,+118.124905E-03,+2.968751E-03
-376.000E-06,+133.124905E-03,+3.593751E-03
-374.000E-06,+146.874905E-03,+4.273439E-03
-372.000E-06,+159.374906E-03,+5.007814E-03
-370.000E-06,+171.874906E-03,+5.742189E-03
-368.000E-06,+179.374906E-03,+6.210939E-03
-366.000E-06,+186.874906E-03,+6.679689E-03
-364.000E-06,+201.874906E-03,+6.953126E-03
-362.000E-06,+224.374906E-03,+7.031251E-03
-360.000E-06,+246.874907E-03,+7.109376E-03
-358.000E-06,+261.874907E-03,+7.000001E-03
-356.000E-06,+276.874907E-03,+6.890626E-03
-354.000E-06,+297.499908E-03,+6.765626E-03
-352.000E-06,+323.749908E-03,+6.625001E-03
-350.000E-06,+349.999908E-03,+6.484376E-03
-348.000E-06,+374.999909E-03,+6.468751E-03
-346.000E-06,+399.999909E-03,+6.453126E-03
-344.000E-06,+422.499909E-03,+6.484376E-03
-342.000E-06,+442.499910E-03,+6.562501E-03
-340.000E-06,+462.499910E-03,+6.640626E-03
-338.000E-06,+488.749910E-03,+6.734376E-03
-336.000E-06,+514.999911E-03,+6.828126E-03
-334.000E-06,+538.124911E-03,+6.898439E-03
-332.000E-06,+558.124911E-03,+6.945314E-03
-330.000E-06,+578.124912E-03,+6.992189E-03
-328.000E-06,+596.874912E-03,+6.945314E-03
-326.000E-06,+615.624912E-03,+6.898439E-03
-324.000E-06,+639.999913E-03,+6.820314E-03
-322.000E-06,+669.999913E-03,+6.710939E-03
-320.000E-06,+699.999914E-03,+6.601564E-03
-318.000E-06,+722.499914E-03,+6.601564E-03
-316.000E-06,+744.999914E-03,+6.601564E-03
-314.000E-06,+766.874915E-03,+6.632814E-03
-312.000E-06,+788.124915E-03,+6.695314E-03
-310.000E-06,+809.374915E-03,+6.757814E-03
-308.000E-06,+831.874916E-03,+6.820314E-03
-306.000E-06,+854.374916E-03,+6.882814E-03
-304.000E-06,+878.124916E-03,+6.882814E-03
-302.000E-06,+903.124917E-03,+6.820314E-03
-300.000E-06,+928.124917E-03,+6.757814E-03
-298.000E-06,+944.374917E-03,+6.710939E-03
-296.000E-06,+960.624917E-03,+6.664064E-03
-294.000E-06,+979.374918E-03,+6.578126E-03
-292.000E-06,+1.000624918E+00,+6.453126E-03
-290.000E-06,+1.021874918E+00,+6.328126E-03
